Topology,Try,Node,Sequence Number,Timestamp,States Count
China Telecom,1,s13,1,1656873419555,42
China Telecom,1,s13,2,1656873469567,43
China Telecom,1,s13,2,1656873471791,84
China Telecom,1,s13,3,1656873514727,85
China Telecom,1,s13,3,1656873517145,126
China Telecom,1,s16,1,1656873417168,1
China Telecom,1,s16,1,1656873419732,75
China Telecom,1,s16,2,1656873469633,76
China Telecom,1,s16,2,1656873471969,146
China Telecom,1,s16,3,1656873514796,147
China Telecom,1,s16,3,1656873517321,217
China Telecom,1,s37,1,1656873417222,1
China Telecom,1,s37,1,1656873419537,52
China Telecom,1,s37,2,1656873469531,53
China Telecom,1,s37,2,1656873471783,103
China Telecom,1,s37,3,1656873514688,104
China Telecom,1,s37,3,1656873517126,153
China Telecom,1,s34,1,1656873417038,1
China Telecom,1,s34,1,1656873419362,70
China Telecom,1,s34,2,1656873469346,71
China Telecom,1,s34,2,1656873471606,138
China Telecom,1,s34,3,1656873514502,139
China Telecom,1,s34,3,1656873516920,206
China Telecom,1,s8,1,1656873417090,1
China Telecom,1,s8,1,1656873419397,52
China Telecom,1,s8,2,1656873469396,53
China Telecom,1,s8,2,1656873471649,103
China Telecom,1,s8,3,1656873514554,104
China Telecom,1,s8,3,1656873516988,153
China Telecom,1,s14,1,1656873417411,1
China Telecom,1,s14,1,1656873419691,58
China Telecom,1,s14,2,1656873469715,59
China Telecom,1,s14,2,1656873471924,114
China Telecom,1,s14,3,1656873514872,115
China Telecom,1,s14,3,1656873517283,170
China Telecom,1,s39,1,1656873417026,1
China Telecom,1,s39,1,1656873419337,48
China Telecom,1,s39,2,1656873469337,49
China Telecom,1,s39,2,1656873471581,96
China Telecom,1,s39,3,1656873514491,97
China Telecom,1,s39,3,1656873516926,143
China Telecom,1,s38,1,1656873417203,1
China Telecom,1,s38,1,1656873419513,48
China Telecom,1,s38,2,1656873469507,49
China Telecom,1,s38,2,1656873471757,96
China Telecom,1,s38,3,1656873514667,97
China Telecom,1,s38,3,1656873517100,143
China Telecom,2,s24,1,1656873665656,1
China Telecom,2,s24,1,1656873668233,63
China Telecom,2,s24,2,1656873731143,64
China Telecom,2,s24,2,1656873733659,126
China Telecom,2,s24,3,1656873778003,127
China Telecom,2,s24,3,1656873780587,188
China Telecom,2,s22,1,1656873665931,1
China Telecom,2,s22,1,1656873668424,42
China Telecom,2,s22,2,1656873731427,43
China Telecom,2,s22,2,1656873733848,85
China Telecom,2,s22,3,1656873778279,86
China Telecom,2,s22,3,1656873780787,127
China Telecom,2,s26,1,1656873665688,1
China Telecom,2,s26,1,1656873668170,57
China Telecom,2,s26,2,1656873731173,58
China Telecom,2,s26,2,1656873733592,113
China Telecom,2,s26,3,1656873778029,114
China Telecom,2,s26,3,1656873780533,169
China Telecom,2,s23,1,1656873665881,1
China Telecom,2,s23,1,1656873668363,52
China Telecom,2,s23,2,1656873731367,53
China Telecom,2,s23,2,1656873733787,104
China Telecom,2,s23,3,1656873778226,105
China Telecom,2,s23,3,1656873780728,156
China Telecom,2,s20,1,1656873665649,1
China Telecom,2,s20,1,1656873668164,52
China Telecom,2,s20,2,1656873731138,53
China Telecom,2,s20,2,1656873733595,103
China Telecom,2,s20,3,1656873777995,104
China Telecom,2,s20,3,1656873780515,153
China Telecom,2,s2,1,1656873665600,1
China Telecom,2,s2,1,1656873668194,69
China Telecom,2,s2,2,1656873731085,70
China Telecom,2,s2,2,1656873733716,137
China Telecom,2,s2,3,1656873777944,138
China Telecom,2,s2,3,1656873780523,191
China Telecom,2,s4,1,1656873665760,1
China Telecom,2,s4,1,1656873668335,50
China Telecom,2,s4,2,1656873731260,51
China Telecom,2,s4,2,1656873733766,101
China Telecom,2,s4,3,1656873778115,102
China Telecom,2,s4,3,1656873780696,151
China Telecom,2,s3,1,1656873665832,1
China Telecom,2,s3,1,1656873668330,69
China Telecom,2,s3,2,1656873731317,70
China Telecom,2,s3,2,1656873733758,137
China Telecom,2,s3,3,1656873778169,138
China Telecom,2,s3,3,1656873780690,205
China Telecom,2,s31,1,1656873665738,1
China Telecom,2,s31,1,1656873668249,46
China Telecom,2,s31,2,1656873731228,47
China Telecom,2,s31,2,1656873733666,92
China Telecom,2,s31,3,1656873778082,93
China Telecom,2,s31,3,1656873780600,138
China Telecom,2,s33,1,1656873665536,1
China Telecom,2,s33,1,1656873668046,53
China Telecom,2,s33,2,1656873731025,54
China Telecom,2,s33,2,1656873733462,105
China Telecom,2,s33,3,1656873777881,106
China Telecom,2,s33,3,1656873780399,157
China Telecom,2,s35,1,1656873665769,1
China Telecom,2,s35,1,1656873668281,52
China Telecom,2,s35,2,1656873731260,53
China Telecom,2,s35,2,1656873733705,103
China Telecom,2,s35,3,1656873778118,104
China Telecom,2,s35,3,1656873780641,153
China Telecom,2,s19,1,1656873665554,1
China Telecom,2,s19,1,1656873668036,55
China Telecom,2,s19,2,1656873731040,56
China Telecom,2,s19,2,1656873733461,109
China Telecom,2,s19,3,1656873777896,110
China Telecom,2,s19,3,1656873780402,163
China Telecom,2,s27,1,1656873665755,1
China Telecom,2,s27,1,1656873668260,46
China Telecom,2,s27,2,1656873731242,47
China Telecom,2,s27,2,1656873733683,92
China Telecom,2,s27,3,1656873778107,93
China Telecom,2,s27,3,1656873780617,138
China Telecom,2,s10,1,1656873665689,1
China Telecom,2,s10,1,1656873668193,46
China Telecom,2,s10,2,1656873731173,47
China Telecom,2,s10,2,1656873733618,92
China Telecom,2,s10,3,1656873778034,93
China Telecom,2,s10,3,1656873780548,138
China Telecom,2,s15,1,1656873665809,1
China Telecom,2,s15,1,1656873668420,50
China Telecom,2,s15,2,1656873731423,51
China Telecom,2,s15,2,1656873733847,92
China Telecom,2,s15,3,1656873778275,93
China Telecom,2,s15,3,1656873780785,133
China Telecom,2,s7,1,1656873665665,1
China Telecom,2,s7,1,1656873668166,44
China Telecom,2,s7,2,1656873731155,45
China Telecom,2,s7,2,1656873733593,88
China Telecom,2,s7,3,1656873778013,89
China Telecom,2,s7,3,1656873780531,132
China Telecom,2,s29,1,1656873665710,1
China Telecom,2,s29,1,1656873668207,42
China Telecom,2,s29,2,1656873731213,43
China Telecom,2,s29,2,1656873733636,85
China Telecom,2,s29,3,1656873778065,86
China Telecom,2,s29,3,1656873780572,127
China Telecom,2,s1,1,1656873665651,1
China Telecom,2,s1,1,1656873668035,50
China Telecom,2,s1,2,1656873731150,51
China Telecom,2,s1,2,1656873733468,101
China Telecom,2,s1,3,1656873778008,102
China Telecom,2,s1,3,1656873780403,151
China Telecom,2,s9,1,1656873665591,1
China Telecom,2,s9,1,1656873668099,46
China Telecom,2,s9,2,1656873731081,47
China Telecom,2,s9,2,1656873733520,92
China Telecom,2,s9,3,1656873777937,93
China Telecom,2,s9,3,1656873780455,138
China Telecom,2,s21,1,1656873665792,1
China Telecom,2,s21,1,1656873668365,63
China Telecom,2,s21,2,1656873731274,64
China Telecom,2,s21,2,1656873733795,126
China Telecom,2,s21,3,1656873778135,127
China Telecom,2,s21,3,1656873780718,188
China Telecom,2,s25,1,1656873665814,1
China Telecom,2,s25,1,1656873668319,46
China Telecom,2,s25,2,1656873731303,47
China Telecom,2,s25,2,1656873733741,92
China Telecom,2,s25,3,1656873778159,93
