Topology,Try,Node,Sequence Number,Timestamp,States Count
ChinaTelecom,2,s35,1,1661703192402,2
ChinaTelecom,2,s35,1,1661703195258,42
ChinaTelecom,2,s35,2,1661703219841,42
ChinaTelecom,2,s35,3,1661703231044,42
ChinaTelecom,2,s35,4,1661703242246,42
ChinaTelecom,2,s19,1,1661703192261,2
ChinaTelecom,2,s19,1,1661703195136,42
ChinaTelecom,2,s19,2,1661703219314,42
ChinaTelecom,2,s19,3,1661703230552,42
ChinaTelecom,2,s19,4,1661703241471,43
ChinaTelecom,2,s19,4,1661703241849,43
ChinaTelecom,2,s27,1,1661703192579,2
ChinaTelecom,2,s27,1,1661703196380,42
ChinaTelecom,2,s27,2,1661703219574,42
ChinaTelecom,2,s27,3,1661703230743,42
ChinaTelecom,2,s27,4,1661703242100,42
ChinaTelecom,2,s10,1,1661703192456,1
ChinaTelecom,2,s10,1,1661703196250,51
ChinaTelecom,2,s10,2,1661703219101,51
ChinaTelecom,2,s10,3,1661703230374,51
ChinaTelecom,2,s10,4,1661703241460,51
ChinaTelecom,2,s15,1,1661703192395,2
ChinaTelecom,2,s15,1,1661703195304,53
ChinaTelecom,2,s15,2,1661703219287,53
ChinaTelecom,2,s15,3,1661703230448,53
ChinaTelecom,2,s15,4,1661703241603,53
ChinaTelecom,2,s7,1,1661703192390,2
ChinaTelecom,2,s7,1,1661703195872,42
ChinaTelecom,2,s7,2,1661703218947,42
ChinaTelecom,2,s7,3,1661703230229,42
ChinaTelecom,2,s7,4,1661703241326,42
ChinaTelecom,2,s29,1,1661703192373,2
ChinaTelecom,2,s29,1,1661703195185,42
ChinaTelecom,2,s29,2,1661703219931,42
ChinaTelecom,2,s29,3,1661703231094,42
ChinaTelecom,2,s29,4,1661703242379,42
ChinaTelecom,2,s1,1,1661703192028,1
ChinaTelecom,2,s1,1,1661703195927,42
ChinaTelecom,2,s1,2,1661703218741,42
ChinaTelecom,2,s1,3,1661703230094,42
ChinaTelecom,2,s1,4,1661703241094,42
ChinaTelecom,2,s9,1,1661703192381,2
ChinaTelecom,2,s9,1,1661703196199,42
ChinaTelecom,2,s9,2,1661703219073,42
ChinaTelecom,2,s9,3,1661703230312,42
ChinaTelecom,2,s9,4,1661703241517,42
ChinaTelecom,2,s21,1,1661703192562,2
ChinaTelecom,2,s21,1,1661703195243,42
ChinaTelecom,2,s21,2,1661703219410,42
ChinaTelecom,2,s21,3,1661703230587,42
ChinaTelecom,2,s21,4,1661703241841,42
ChinaTelecom,2,s25,1,1661703192578,2
ChinaTelecom,2,s25,1,1661703196391,42
ChinaTelecom,2,s25,2,1661703219549,42
ChinaTelecom,2,s25,3,1661703230719,42
ChinaTelecom,2,s25,4,1661703241955,42
ChinaTelecom,2,s6,1,1661703192371,1
ChinaTelecom,2,s6,1,1661703195878,42
ChinaTelecom,2,s6,2,1661703218887,42
ChinaTelecom,2,s6,3,1661703230159,42
ChinaTelecom,2,s6,4,1661703241271,42
ChinaTelecom,2,s40,1,1661703192222,2
ChinaTelecom,2,s40,1,1661703195104,42
ChinaTelecom,2,s40,2,1661703220055,42
ChinaTelecom,2,s40,3,1661703231081,42
ChinaTelecom,2,s40,4,1661703242404,42
ChinaTelecom,2,s41,1,1661703192393,2
ChinaTelecom,2,s41,1,1661703195252,42
ChinaTelecom,2,s41,2,1661703220040,42
ChinaTelecom,2,s41,3,1661703231056,42
ChinaTelecom,2,s41,4,1661703242355,42
ChinaTelecom,2,s18,1,1661703192538,2
ChinaTelecom,2,s18,1,1661703195320,42
ChinaTelecom,2,s18,2,1661703219330,42
ChinaTelecom,2,s18,3,1661703230500,42
ChinaTelecom,2,s18,4,1661703241730,42
ChinaTelecom,2,s12,1,1661703192546,1
ChinaTelecom,2,s12,1,1661703196394,42
ChinaTelecom,2,s12,2,1661703219148,42
ChinaTelecom,2,s12,3,1661703230405,42
ChinaTelecom,2,s12,4,1661703241542,42
ChinaTelecom,2,s30,1,1661703192548,2
ChinaTelecom,2,s30,1,1661703195328,42
ChinaTelecom,2,s30,2,1661703219692,42
ChinaTelecom,2,s30,3,1661703230966,42
ChinaTelecom,2,s30,4,1661703242191,42
ChinaTelecom,2,s5,1,1661703192301,1
ChinaTelecom,2,s5,1,1661703196400,42
ChinaTelecom,2,s5,2,1661703218799,42
ChinaTelecom,2,s5,3,1661703230132,42
ChinaTelecom,2,s5,4,1661703241262,42
ChinaTelecom,2,s17,1,1661703192206,2
ChinaTelecom,2,s17,1,1661703195159,44
ChinaTelecom,2,s17,2,1661703219328,44
ChinaTelecom,2,s17,3,1661703230464,44
ChinaTelecom,2,s17,4,1661703241760,44
ChinaTelecom,2,s32,1,1661703192568,2
ChinaTelecom,2,s32,1,1661703196394,42
ChinaTelecom,2,s32,2,1661703219715,42
ChinaTelecom,2,s32,3,1661703230887,42
ChinaTelecom,2,s32,4,1661703242248,42
ChinaTelecom,2,s36,1,1661703192400,2
ChinaTelecom,2,s36,1,1661703195262,42
ChinaTelecom,2,s36,2,1661703219885,42
ChinaTelecom,2,s36,3,1661703230962,42
ChinaTelecom,2,s36,4,1661703242349,42
ChinaTelecom,2,s28,1,1661703192376,2
ChinaTelecom,2,s28,1,1661703195112,42
ChinaTelecom,2,s28,2,1661703219787,42
ChinaTelecom,2,s28,3,1661703231036,42
ChinaTelecom,2,s28,4,1661703242320,42
ChinaTelecom,2,s11,1,1661703192393,2
ChinaTelecom,2,s11,1,1661703195716,42
ChinaTelecom,2,s11,2,1661703219131,42
ChinaTelecom,2,s11,3,1661703230398,42
ChinaTelecom,2,s11,4,1661703241507,42
ChinaTelecom,2,s42,1,1661703192403,2
ChinaTelecom,2,s42,1,1661703195257,42
ChinaTelecom,2,s42,2,1661703220038,42
ChinaTelecom,2,s42,3,1661703231007,42
ChinaTelecom,2,s42,4,1661703242390,42
ChinaTelecom,2,s13,1,1661703192547,2
ChinaTelecom,2,s13,1,1661703195319,42
ChinaTelecom,2,s13,2,1661703219181,42
ChinaTelecom,2,s13,3,1661703230434,42
ChinaTelecom,2,s13,4,1661703241571,42
ChinaTelecom,2,s16,1,1661703192392,2
ChinaTelecom,2,s16,1,1661703195304,53
ChinaTelecom,2,s16,2,1661703219275,53
ChinaTelecom,2,s16,3,1661703230461,53
ChinaTelecom,2,s16,4,1661703241606,53
ChinaTelecom,2,s37,1,1661703192398,2
ChinaTelecom,2,s37,1,1661703195256,42
ChinaTelecom,2,s37,2,1661703219890,42
ChinaTelecom,2,s37,3,1661703230933,42
ChinaTelecom,2,s37,4,1661703242298,42
ChinaTelecom,2,s34,1,1661703192326,2
ChinaTelecom,2,s34,1,1661703195258,42
ChinaTelecom,2,s34,2,1661703219822,42
ChinaTelecom,2,s34,3,1661703230952,42
ChinaTelecom,2,s34,4,1661703242256,42
ChinaTelecom,2,s8,1,1661703192386,2
ChinaTelecom,2,s8,1,1661703195825,42
ChinaTelecom,2,s8,2,1661703219005,42
ChinaTelecom,2,s8,3,1661703230257,42
ChinaTelecom,2,s8,4,1661703241358,42
ChinaTelecom,2,s14,1,1661703192545,2
ChinaTelecom,2,s14,1,1661703195276,42
ChinaTelecom,2,s14,2,1661703219235,42
ChinaTelecom,2,s14,3,1661703230437,42
ChinaTelecom,2,s14,4,1661703241652,42
ChinaTelecom,2,s39,1,1661703192390,2
ChinaTelecom,2,s39,1,1661703195121,42
ChinaTelecom,2,s39,2,1661703219934,42
ChinaTelecom,2,s39,3,1661703231052,42
ChinaTelecom,2,s39,4,1661703242376,42
ChinaTelecom,2,s38,1,1661703192561,2
ChinaTelecom,2,s38,1,1661703195284,42
ChinaTelecom,2,s38,2,1661703219904,42
ChinaTelecom,2,s38,3,1661703230934,42
ChinaTelecom,2,s38,4,1661703242307,42
ChinaTelecom,3,s24,1,1661703303511,2
ChinaTelecom,3,s24,1,1661703305844,43
ChinaTelecom,3,s24,2,1661703330819,43
ChinaTelecom,3,s24,3,1661703342046,43
ChinaTelecom,3,s24,4,1661703353621,43
ChinaTelecom,3,s22,1,1661703303621,2
ChinaTelecom,3,s22,1,1661703306384,42
ChinaTelecom,3,s22,2,1661703330660,42
ChinaTelecom,3,s22,3,1661703341970,42
ChinaTelecom,3,s22,4,1661703353484,42
ChinaTelecom,3,s26,1,1661703303512,2
ChinaTelecom,3,s26,1,1661703306089,43
ChinaTelecom,3,s26,2,1661703330807,43
ChinaTelecom,3,s26,3,1661703342227,43
ChinaTelecom,3,s26,4,1661703353674,43
ChinaTelecom,3,s23,1,1661703303634,2
ChinaTelecom,3,s23,1,1661703306106,43
ChinaTelecom,3,s23,2,1661703330823,43
ChinaTelecom,3,s23,3,1661703342050,43
ChinaTelecom,3,s23,4,1661703353603,43
ChinaTelecom,3,s20,1,1661703303532,2
ChinaTelecom,3,s20,1,1661703306176,42
ChinaTelecom,3,s20,2,1661703330572,42
ChinaTelecom,3,s20,3,1661703341926,42
ChinaTelecom,3,s20,4,1661703353396,42
ChinaTelecom,3,s2,1,1661703303267,1
ChinaTelecom,3,s2,1,1661703307278,42
ChinaTelecom,3,s2,2,1661703329859,42
ChinaTelecom,3,s2,3,1661703341305,42
ChinaTelecom,3,s2,4,1661703352770,42
ChinaTelecom,3,s4,1,1661703303330,1
ChinaTelecom,3,s4,1,1661703307301,42
ChinaTelecom,3,s4,2,1661703329983,42
ChinaTelecom,3,s4,3,1661703341386,42
ChinaTelecom,3,s4,4,1661703352910,42
ChinaTelecom,3,s3,1,1661703303324,1
ChinaTelecom,3,s3,1,1661703307013,42
ChinaTelecom,3,s3,2,1661703329911,42
ChinaTelecom,3,s3,3,1661703341361,42
ChinaTelecom,3,s3,4,1661703352846,42
ChinaTelecom,3,s31,1,1661703303633,2
ChinaTelecom,3,s31,1,1661703306236,42
ChinaTelecom,3,s31,2,1661703330965,42
ChinaTelecom,3,s31,3,1661703342270,42
ChinaTelecom,3,s31,4,1661703353775,42
ChinaTelecom,3,s33,1,1661703303513,2
ChinaTelecom,3,s33,1,1661703306188,42
ChinaTelecom,3,s33,2,1661703330977,42
ChinaTelecom,3,s33,3,1661703342261,42
ChinaTelecom,3,s33,4,1661703353991,42
ChinaTelecom,3,s35,1,1661703303520,2
ChinaTelecom,3,s35,1,1661703306195,42
ChinaTelecom,3,s35,2,1661703331042,42
ChinaTelecom,3,s35,3,1661703342297,42
ChinaTelecom,3,s35,4,1661703353932,42
ChinaTelecom,3,s19,1,1661703303441,2
ChinaTelecom,3,s19,1,1661703306447,42
ChinaTelecom,3,s19,2,1661703330567,42
ChinaTelecom,3,s19,3,1661703341915,42
ChinaTelecom,3,s19,4,1661703353392,42
ChinaTelecom,3,s27,1,1661703303661,2
ChinaTelecom,3,s27,1,1661703307193,42
ChinaTelecom,3,s27,2,1661703330871,42
ChinaTelecom,3,s27,3,1661703342159,42
ChinaTelecom,3,s27,4,1661703353778,42
ChinaTelecom,3,s10,1,1661703303510,1
